pfamID	numSequences	numColumns	pdbid	pfamLine	eScore	queryStart	queryEnd	targetStart	targetEnd	percentIdentity	CHAIN_ID
AdoMet_dc	1222	277	1VR7	SPEH_THEMA	5.00E-59	6	111	1	107	99.07	A
ADP_ribosyl_GH	1948	1379	1T5J	Y1187_METJA	7.00E-149	10	278	1	269	100	A
Aerolysin	221	535	3G4O	AERA_AERHY	0	95	431	1	359	93.59	A
AFOR_C	794	1190	1AOR	AOR_PYRFU	0	217	601	1	385	100	A
AHS2	1983	542	3OPF	Q5SJM0_THET8	2.00E-121	241	490	1	250	100	A
AIG2	1416	488	1VKB	A2LD1_MOUSE	1.00E-63	6	117	1	115	97.39	A
AIM24	1282	713	1PG6	Q9A1J9_STRP1	1.00E-93	3	194	1	212	90.57	A
AKAP7_NLS	257	802	2VFL	D3ZMQ5_RAT	4.00E-117	3	201	1	199	100	A
Alginate_lyase	665	748	4F13	Q9KWU1_SPHSX	2.00E-167	18	291	1	274	99.64	A
Alginate_lyase2	231	533	2ZAC	Q75WP3_9SPHN	1.00E-128	9	226	1	218	99.54	A
ALIX_LYPXL_bnd	398	747	2XS1	PDC6I_HUMAN	2.00E-153	407	697	1	291	100	A
Allantoicase	807	425	1O59	E7QG94_YEASZ	5.00E-75	31	170	1	152	92.11	A
Alpha_L_fucos	1314	1178	3UET	B7GNN8_BIFLS	0	11	332	1	336	95.24	A
Alpha-amylase_N	933	296	1VFM	NEPU2_THEVU	2.00E-65	1	117	1	117	100	A
Alpha-L-AF_C	944	731	4ATW	A5IKC8_THEP1	3.00E-113	279	474	1	196	100	A
AMMECR1	673	416	1ZQ7	Y484_METMA	6.00E-94	9	180	1	178	96.63	A
AMNp_N	608	241	1T8S	E2X163_ECOLX	1.00E-71	4	135	1	139	94.96	A
AMP_N	1782	419	2BHB	B7LPC2_ESCF3	1.00E-78	3	138	1	136	100	A
An_peroxidase	1489	2191	3TZI	Q8VH41_SIGHI	0	108	550	1	443	94.36	A
ANTH	720	793	1HX8	E1JJ78_DROME	8.00E-140	1	270	2	279	96.04	A
Antibiotic_NAT	454	448	3N0M	C3NZP3_BACAA	5.00E-108	62	257	31	232	96.53	A
APC10	370	500	1GQP	APC10_YEAST	5.00E-93	22	180	2	168	94.61	A
APG5	239	855	2DYO	ATG5_YEAST	7.00E-107	80	268	1	202	93.56	A
Apocytochr_F_C	478	176	1EWH	CYF_CHLRE	4.00E-45	167	251	1	85	100	A
Arabinose_Isome	689	693	4F2D	C2DN26_ECOLX	0	1	344	2	359	95.53	A
Arch_ATPase	1440	1197	2QEN	Q9V2L3_PYRAB	4.00E-122	14	245	1	232	99.57	A
Archease	360	329	1J5U	ARCH_THEMA	1.00E-57	4	125	1	123	96.75	A
ARD	665	407	1VR3	MTND_MOUSE	1.00E-76	2	149	1	155	95.48	A
ArdA	663	474	2W82	Q3Y261_ENTFC	1.00E-81	3	162	1	160	100	A
Arena_RNA_pol	202	2433	3JSB	L_LYCVA	5.00E-99	3	173	2	172	99.42	A
ARPC4	257	344	3RSE	F1SQE6_PIG	2.00E-96	1	167	2	168	100	F
Arrestin_C	1225	859	3GD1	ARRB1_BOVIN	1.00E-68	179	335	1	164	95.73	C
ArsD	304	272	3KTB	A6L7X2_BACV8	5.00E-53	4	102	2	103	97.06	A
ART	269	603	1GXZ	NAR2B_RAT	1.00E-128	4	216	1	213	100	A
Arylsulfotrans	656	1498	3ETS	D7YTG1_ECOLX	0	14	551	1	547	96.89	A
ASC	1284	2649	3S3W	ACCN2_CHICK	0	1	396	27	428	98.51	A
ASF1_hist_chap	317	372	4EO5	B3LQ02_YEAS1	9.00E-88	2	154	2	154	100	A
ASL_C	1211	167	2PTR	E6AUM5_ECOLX	3.00E-60	331	440	1	115	95.65	A
AsnA	997	403	12AS	C6UZP2_ECO5T	9.00E-142	1	243	2	244	99.59	A
Asparaginase_2	1786	1277	1P4V	ASPG_ELIMR	4.00E-177	1	295	23	317	99.66	A
AstA	709	469	1YLE	A6VA78_PSEA7	5.00E-170	3	323	3	338	94.94	A
Astacin	1294	1026	3EDH	E1BEV7_BOVIN	4.00E-105	8	193	1	194	95.36	A
AstB	499	527	1YNI	ASTB_ECOLI	0	1	440	2	441	99.77	A
AstE_AspA	1917	1103	2Q51	ACY2_HUMAN	1.00E-154	2	287	1	292	97.26	A
Atg8	660	376	1KJT	Q6IAW1_HUMAN	3.00E-57	13	114	1	102	100	A
ATP_bind_1	1399	923	1YR7	Q9UYR9_PYRAB	3.00E-139	5	243	1	239	99.58	A
ATP_bind_4	649	934	3RK0	Q8U2K6_PYRFU	8.00E-103	2	204	1	222	91.44	A
ATP-sulfurylase	900	370	2GKS	SATC_AQUAE	1.00E-108	141	347	1	222	93.24	A
ATP-synt_F	825	258	2QAI	VATF_PYRFU	2.00E-42	2	87	2	93	91.3	A
ATP11	205	627	2P4F	Q6FJS2_CANGA	3.00E-97	23	188	112	289	93.26	A
AurF	372	596	3CHH	Q70KH9_9ACTO	1.00E-160	1	287	20	313	97.62	A
Autoind_bind	1663	357	2AVX	C6EBE5_ECOBD	2.00E-83	22	165	1	144	99.31	A
Autoind_synth	673	605	1K4J	ESAI_ERWST	6.00E-94	13	169	24	180	100	A
AXE1	669	1278	3M82	Q9WXT2_THEMA	7.00E-165	1	318	3	321	99.37	A
B56	660	844	2NYM	F1P709_CANFA	0	1	365	9	383	97.07	B
Bac_globin	1444	402	1RTX	TRHBN_SYNY3	2.00E-59	2	120	1	119	100	A
Bac_rhamnosid	943	1807	3CIH	Q8A916_BACTN	0	165	646	1	501	95.41	A
Bac_rhamnosid_N	646	646	2OKX	Q93RE7_BACGL	1.00E-101	33	208	1	176	100	A
Bacillus_HBL	694	300	2NRJ	F0PYR6_BACT0	2.00E-99	11	192	2	187	97.85	A
bact-PGI_C	212	290	1X9I	PGMI_PYRAE	7.00E-78	163	300	1	138	100	A
BAH	1302	687	1ZBX	A6ZM00_YEAS7	5.00E-82	32	172	1	141	100	A
BAR	1137	885	4AVM	B2RAR0_HUMAN	1.00E-116	3	223	1	221	100	A
BAR_3_WASP_bdg	306	417	3DYU	B3KXH8_HUMAN	1.00E-141	129	364	1	236	100	A
BCDHK_Adom3	568	673	2ZDX	PDK4_HUMAN	2.00E-87	14	167	1	164	93.9	A
Bet_v_1	1064	378	4A8V	BEV1J_BETPN	1.00E-87	1	154	2	155	100	A
Beta-Casp	1633	417	3IEL	RNSE_THET8	3.00E-68	228	351	1	124	100	A
BetaGal_dom4_5	389	288	1TG7	BGALA_PENSQ	9.00E-66	822	935	1	114	100	A
Bgal_small_N	1735	892	3VD9	E6B600_ECOLX	1.00E-165	740	1013	1	274	100	A
Bile_Hydr_Trans	202	194	3K2I	ACOT4_HUMAN	6.00E-71	10	137	1	128	98.44	A
Biopterin_H	1094	753	4ANP	PH4H_HUMAN	3.00E-178	3	309	1	307	100	A
Birna_RdRp	209	1126	2YIA	RDRP_IPNVJ	0	1	788	3	790	100	A
BLUF	542	167	2HFO	P74295_SYNY3	4.00E-54	3	95	1	93	100	A
BOF	909	224	1NNX	C1HHC2_9ESCH	3.00E-48	2	92	13	103	97.8	A
Branch	1050	916	2GAK	GCNT1_MOUSE	6.00E-164	73	342	1	270	100	A
BRO1	695	1595	3UM2	BROX_HUMAN	0	29	369	1	341	100	A
BsmA	320	370	3PL0	A2SJH7_METPP	2.00E-100	43	238	2	200	98.49	A
BTAD	1559	425	2FF4	C6DUA4_MYCTK	1.00E-82	103	248	1	146	100	A
BTG	248	226	2D5R	D2HTT8_AILME	8.00E-59	2	116	1	115	100	B
BTLCP	534	381	4FGP	D5TAX1_LEGP2	1.00E-82	14	156	1	143	98.6	A
C_GCAxxG_C_C	595	331	1H21	CYCX_DESDA	4.00E-80	43	179	1	137	100	A
C4	460	224	1T60	F1N7Q7_BOVIN	9.00E-67	110	223	1	114	100	C
C4dic_mal_tran	1763	810	3M76	TEHA_HAEIN	3.00E-165	1	301	2	302	99.67	A
Cadherin_2	1151	233	1WYJ	Q9CVD3_MOUSE	8.00E-36	12	94	2	84	100	A
CAF1	731	1468	3G0Z	CAF1_SCHPO	2.00E-136	4	231	1	228	100	A
Calpain_III	885	596	1KFU	Q59EF6_HUMAN	4.00E-85	354	509	1	156	100	L
CamS	471	482	3IB5	C2EJD6_9LACO	6.00E-177	21	331	1	315	98.73	A
CAP_C	308	346	2B0R	Q5CS32_CRYPV	7.00E-90	6	164	1	159	100	A
CAP_N	315	767	1S0P	CAP_DICDI	2.00E-104	1	176	46	221	100	A
Caps_synth_GfcC	627	679	3P42	B7UN63_ECO27	2.00E-124	3	223	6	228	99.1	A
Capsid_NCLDV	684	605	1J5Q	MCP_PBCV1	4.00E-115	172	409	1	238	100	A
Carb_anhydrase	1905	1150	4FIK	CAH2_HUMAN	3.00E-150	2	256	1	255	99.61	A
Carn_acyltransf	1079	1898	1T1U	CLAT_RAT	0	3	593	1	591	99.15	A
Cas_Cas6	357	350	3UFC	Q8U3R3_PYRFU	9.00E-80	99	240	7	148	100	X
Cas_DxTHG	206	1158	2I71	Q97YD5_SULSO	0	6	338	1	346	96.24	A
CAT	566	347	3U9B	Q573N9_9BACT	1.00E-123	5	208	1	204	100	A
CBAH	1441	1196	2QUY	PAC_LYSSH	4.00E-180	1	317	1	317	99.37	A
CbiC	1143	349	1I1H	COBH_PSEDE	4.00E-110	11	207	1	197	100	A
CbiD	860	806	1SR8	CBID_ARCFU	2.00E-105	35	263	1	229	100	A
CbiG_C	1016	314	2W6L	Q9HZQ0_PSEAE	3.00E-51	8	134	1	127	99.21	A
CbiK	512	731	2XVX	CBIKP_DESVH	2.00E-138	3	259	1	257	100	A
CBM_2	1142	301	3NDY	GUND_CLOC7	1.00E-53	3	104	1	102	100	E
CBM_20	1013	288	1A47	CDGT_THETU	8.00E-54	583	679	1	97	100	A
CBM_21	389	317	2VQ4	B7XC05_AMYRO	1.00E-54	3	105	1	103	100	A
CBM_4_9	1311	443	1ULO	GUNC_CELFI	2.00E-59	3	130	1	128	100	A
CBM_6	1276	399	1UY3	XYNA2_CLOSR	3.00E-63	12	130	1	119	99.16	A
CDC27	218	1360	3E0J	F1SUQ0_PIG	4.00E-76	18	143	1	126	99.21	B
CDC37_M	231	459	2K5B	D2HGY6_AILME	4.00E-76	1	129	65	193	100	B
CDH	409	360	2POF	E9XFH0_ECOLX	2.00E-115	1	214	2	221	97.27	A
CDO_I	647	569	3USS	Q9I0N5_PSEAE	5.00E-95	1	165	1	165	100	A
CelD_N	413	208	3H7L	A6B440_VIBPA	2.00E-46	4	87	1	84	98.81	A
Ceramidase_alk	524	1672	2ZWS	B7UY91_PSEA8	0	4	627	1	639	97.5	A
CesT	946	244	1XKP	B2KAD6_YERPB	1.00E-56	3	116	3	120	95.76	C
CGI-121	269	423	2K8Y	Y187_METJA	3.00E-69	21	145	14	138	100	A
Chalcone	442	475	4DOK	Q8VZW3_ARATH	4.00E-72	12	206	1	195	100	A
Channel_Tsx	916	515	1TLZ	D8E147_ECOLX	9.00E-143	1	248	1	264	93.94	A
CHASE	842	555	3T4S	AHK4_ARATH	5.00E-110	49	235	1	187	100	A
CHB_HEX	264	357	1QBA	CHB_SERMA	3.00E-96	9	170	1	162	100	A
CheD	744	204	2F9Z	CHED_THEMA	2.00E-54	48	148	1	101	100	C
Chitin_bind_3	1237	716	2LHS	O83009_SERMA	3.00E-99	1	167	1	167	100	A
ChitinaseA_N	307	236	3AS2	Q9AMP1_VIBHA	2.00E-78	1	136	3	138	100	A
CHMI	545	269	3E6Q	E3A409_PSEAE	6.00E-48	6	124	1	120	97.5	A
Chor_lyase	774	428	1JD3	B3BBZ8_ECO57	2.00E-56	9	164	1	156	97.44	A
CHU_C	659	218	1XF1	Q3DR39_STRAG	1.00E-63	699	809	1	111	100	A
ChuX_HutX	324	300	2HQV	Q7CX01_AGRT5	2.00E-64	43	163	15	139	96.8	A
Circo_capsid	1151	397	3R0R	B1Q0C3_PCV2	2.00E-109	5	189	38	222	100	A
CitG	1109	588	3H9P	O28441_ARCFU	3.00E-96	1	216	33	265	92.27	A
CK_II_beta	587	536	4DGL	Q28EV4_XENTR	1.00E-104	1	176	1	184	95.65	A
Clp1	331	853	2NPI	CLP1_YEAST	9.00E-93	238	422	1	187	98.93	A
CM_1	320	140	2CHT	A3F3F1_BACSU	3.00E-64	2	114	1	113	100	A
CmcH_NodU	566	1083	3VEZ	Q70IY1_STRSD	0	120	500	1	381	99.74	A
Coatomer_E	304	979	3MKR	COPE_BOVIN	5.00E-162	1	289	3	291	99.65	A
Coatomer_WDAD	555	1137	3MKQ	A6ZXI2_YEAS7	2.00E-73	1	130	300	429	98.46	B
CobA_CobO_BtuR	1718	356	1G5R	B5QAS2_SALVI	9.00E-70	1	152	2	158	96.82	A
CobU	1573	395	1C9K	Q57MX9_SALCH	7.00E-93	2	169	1	178	94.38	A
CodY	666	256	2GX5	CODY_BACSU	7.00E-85	3	153	1	155	97.42	A
Cofilin_ADF	1557	404	1CFY	A7A0L0_YEAS7	1.00E-72	5	132	1	128	100	A
Collagen_bind	1295	411	2OKM	E6I374_ENTFA	2.00E-80	4	146	1	143	98.6	A
Coq4	351	663	3MSQ	B2J5W7_NOSP7	2.00E-75	57	200	1	155	92.26	A
Corona_nucleoca	870	611	2C86	NCAP_IBVBC	1.00E-75	3	134	28	159	99.24	A
Couple_hipA	1217	354	3DNT	E2QM62_ECOLX	1.00E-54	3	102	1	101	99.01	A
COX4	315	227	3ABK	COX41_BOVIN	6.00E-83	1	143	1	143	100	D
COXG	592	407	2PCS	Q5QL47_GEOKA	1.00E-79	5	145	1	141	100	A
CP_ATPgrasp_1	926	693	3N6X	Q1H4C5_METFK	7.00E-161	58	372	1	331	95.17	A
Creatininase	961	594	1J2U	CRNA_PSEPU	6.00E-147	5	252	1	248	100	A
CRISPR_Cse1	385	1065	4F3E	Q53VY1_THET8	0	4	444	1	460	95.87	A
CRISPR_Cse2	388	366	2ZCA	Q53VY0_THET8	7.00E-67	29	152	9	133	99.2	A
Crl	384	145	3RPJ	B4EUU9_PROMH	6.00E-65	1	120	4	127	96.77	A
CRM1_C	319	887	3GB8	B7ZB16_HUMAN	0	606	924	1	319	100	A
CrtC	539	945	2ICH	Q82US3_NITEU	1.00E-164	24	315	1	304	96.05	A
CsiD	249	503	1JR7	D8AP21_ECOLX	9.00E-158	6	296	1	296	98.31	A
CtaG_Cox11	726	235	1SP0	E0K4R5_RHIME	1.00E-72	1	127	21	147	100	A
Cu_amine_oxid	802	836	3SX1	AMO_PICAN	0	226	647	1	422	100	A
Cu_amine_oxidN1	1707	497	2WOH	A7ZZU9_ECOHS	8.00E-46	1	85	5	89	100	A
Cu_bind_like	876	255	1X9R	UMEC_ARMRU	1.00E-49	12	96	1	85	100	A
Cu2_monooxygen	327	278	3MIF	Q8BQ31_MOUSE	1.00E-73	17	140	1	124	99.19	A
Cullin_binding	444	351	3TDZ	F1MDM6_BOVIN	5.00E-66	74	188	1	115	100	A
Cupin_5	754	378	1XE8	YMH9_YEAST	8.00E-79	21	164	1	151	95.36	A
CUT	493	179	1WH8	E2R1M2_CANFA	3.00E-48	19	105	1	87	100	A
CutC	1457	652	1X7I	CUTC_SHIFL	2.00E-116	2	201	1	200	100	A
Cutinase	914	654	1CUX	C7ZGJ1_NECH7	6.00E-103	13	192	1	180	99.44	A
CybS	260	326	3VRB	F1L760_ASCSU	4.00E-72	3	128	1	126	100	D
Cyclase	1942	684	1R61	C9RZU3_GEOSY	8.00E-85	5	151	1	147	100	A
Cyclin	1025	979	2PK9	E7NNB1_YEASO	5.00E-71	17	146	1	138	94.2	B
Cyclin_C	1988	489	1PKD	CCNA2_HUMAN	7.00E-69	135	253	1	119	100	B
Cystatin	1336	312	3S67	CYTC_HUMAN	7.00E-56	2	97	1	96	98.96	A
Cytochrom_NNT	1633	502	2VR0	Q72EF4_DESVH	2.00E-68	20	136	29	145	100	C
D-ser_dehydrat	772	303	3AWN	A9CP13_CHICK	5.00E-44	260	354	1	101	92.08	A
Dabb	1100	240	3FMB	C6I6T2_9BACE	1.00E-50	5	100	1	98	97.96	A
DAHP_synth_2	1081	778	3RZI	D5ZG74_MYCTU	0	18	448	1	435	99.08	A
Dak1	1969	628	1UN8	DHAK_CITFR	0	22	331	1	310	100	A
DBI_PRT	1719	917	1JH8	COBT_SALTY	0	5	344	1	340	99.71	A
dCMP_cyt_deam_2	571	357	4EG2	C2J8Z1_VIBCH	3.00E-60	154	271	1	124	95.16	A
DCP1	272	374	2QKL	DCP1_SCHPO	2.00E-64	4	119	1	122	95.08	A
DCP2	218	179	2A6T	DCP2_SCHPO	5.00E-45	9	90	1	85	96.47	A
DDR	247	524	2D0P	O68195_KLEOX	0	274	605	1	332	100	A
Dehydratase_LU	259	569	1MMF	A6TEA0_KLEP7	0	2	552	1	551	100	A
DEP	1303	251	2CSO	PLEK_HUMAN	5.00E-46	31	111	1	81	100	A
Desulfoferrodox	455	240	1VZI	DFX_DESB2	1.00E-46	40	124	1	85	98.82	A
DevR	212	874	3PS0	Q97Y91_SULSO	1.00E-136	6	250	1	271	90.41	A
DGOK	566	602	3T69	E0K3C4_RHIME	6.00E-147	6	277	1	272	100	A
DHHA2	1322	425	2QB6	B3LSW2_YEAS1	9.00E-86	240	388	1	149	100	A
DHquinase_I	1403	587	1SFJ	D6SFU9_STAAU	1.00E-127	4	225	1	231	96.1	A
Diphthamide_syn	685	927	3LZD	DPH2_PYRHO	5.00E-175	25	322	1	298	100	A
DisA-linker	455	179	3C21	DISA_THEMA	9.00E-61	140	281	3	144	100	A
Disulph_isomer	495	159	3FHK	E8V9U7_BACST	6.00E-79	11	147	1	137	98.54	A
DltD_C	700	212	3BMA	A5MU13_STRPN	2.00E-66	235	365	1	131	100	A
DNA_ligase_A_C	1799	393	4EQ5	C6A2U9_THESM	7.00E-50	399	491	1	93	100	A
DNA_pol3_chi	1080	300	1EM8	C4ZRD0_ECOBW	3.00E-74	1	143	1	143	100	A
DNA_pol3_tau_5	508	237	2AYA	D2A8M7_SHIF2	1.00E-64	2	128	1	127	99.21	A
DNA_primase_S	1040	635	1G71	PRIS_PYRFU	1.00E-125	94	310	1	217	100	A
DnaI_N	590	150	2K7R	D4FZX5_BACNA	8.00E-55	1	98	1	98	100	A
DNApol3-delta_C	499	177	1XXI	E8IY28_ECOLX	8.00E-66	206	323	1	118	100	E
DNase-RNase	788	348	1VJL	D2C7E8_THENR	3.00E-62	4	135	1	142	91.55	A
dNK	1668	468	2VP9	DNK_DROME	3.00E-75	69	197	1	129	100	A
DOPA_dioxygen	253	194	2P8I	Q13JM0_BURXL	5.00E-57	12	114	1	104	99.04	A
DOT1	364	687	4ER6	DOT1L_HUMAN	3.00E-107	112	311	1	203	98.52	A
DPPIV_N	1577	1503	2QOE	DPP4_HUMAN	0	70	441	1	372	100	A
DPRP	426	392	3ZXS	Q3IXP1_RHOS4	4.00E-107	4	223	1	220	100	A
Drf_FH3	549	597	3O4X	Q05CS5_MOUSE	5.00E-109	130	317	1	188	100	A
DrsE_2	607	336	2QS7	D0KU84_SULS9	2.00E-65	1	129	2	138	91.97	A
DRTGG	1909	271	3L2B	B1R3D8_CLOPE	2.00E-56	78	181	1	104	100	A
DS	704	919	1ROZ	DHYS_HUMAN	0	15	329	1	315	100	A
DsbB	1937	390	2K74	D8E333_ECOLX	8.00E-64	1	148	1	148	97.3	A
DsbC	1717	280	1JPE	D8AFI9_ECOLX	8.00E-58	1	112	3	114	99.11	A
DsrC	777	163	2V4J	DSVC_DESVH	2.00E-58	1	103	1	103	100	C
dsRNA_bind	341	243	2KOU	DCL4_ARATH	3.00E-42	6	98	1	93	97.85	A
DUF1027	589	95	2KL5	D4G0Z0_BACNA	4.00E-48	13	98	1	86	100	A
DUF1028	293	391	2IMH	Q5LQD5_SILPO	1.00E-75	3	183	1	190	93.16	A
DUF1040	437	102	2KO6	E3Y8R1_SHIFL	1.00E-47	1	86	1	86	100	A
DUF1042	267	317	2EE7	SPEF1_HUMAN	1.00E-53	20	113	1	94	100	A
DUF1054	342	292	3MQZ	A3ER16_9BACT	4.00E-84	10	183	1	178	97.75	A
DUF1080	970	813	3U1X	A6LD40_PARD8	2.00E-108	13	211	1	214	92.99	A
DUF1083	407	689	1I82	XYNA_THEMA	3.00E-103	12	189	1	178	100	A
DUF1093	1105	181	2K5W	Q813L1_BACCR	1.00E-50	6	97	1	92	100	A
DUF1100	448	1294	3MVE	Y328_VIBVU	0	1	395	17	411	100	A
DUF111	536	983	3C19	Q8TYK3_METKA	3.00E-84	4	155	1	152	100	A
DUF1116	561	289	3CLQ	C7WII6_ENTFA	2.00E-110	86	292	1	218	94.95	A
DUF1131	318	238	2QZB	C9QPY4_ECOD1	3.00E-81	1	145	18	170	94.77	A
DUF1149	320	174	2HNG	E1XKY0_STRZN	6.00E-66	2	122	2	124	98.37	A
DUF1153	222	116	2JRT	Q3J357_RHOS4	2.00E-40	1	90	1	90	100	A
DUF1205	365	229	3OTI	Q8KND7_MICEC	2.00E-50	175	268	1	94	100	A
DUF1214	1128	322	3VB9	A6AYG8_VIBPA	1.00E-61	325	434	1	111	99.1	A
DUF1217	326	563	2O8S	O34169_RHIRD	3.00E-68	70	213	1	150	96	A
DUF1223	284	319	2AXO	A9CHH7_AGRT5	2.00E-92	8	191	1	196	93.37	A
DUF1237	687	900	3P2C	A7LZS1_BACOV	0	29	417	1	403	95.78	A
DUF1255	669	129	3HQX	Y356_ACIAD	3.00E-52	10	104	1	96	98.96	A
DUF1260	826	163	1NXI	A6XY24_VIBCH	3.00E-50	16	120	1	105	100	A
DUF1273	704	359	2NX2	YPSA_BACSU	3.00E-101	2	178	1	177	99.44	A
DUF1285	330	243	2RA9	A3D5G6_SHEB5	8.00E-69	6	126	1	122	99.18	A
DUF1307	575	251	2JOE	E7HTT3_ECOLX	4.00E-68	6	129	1	124	100	A
DUF1329	519	634	3BK5	E1CXR5_VIBPA	4.00E-64	1	124	18	146	94.57	A
DUF1338	791	813	2RJB	Q83KU0_SHIFL	0	10	376	1	385	94.03	A
DUF1341	477	293	3MUX	B0ANT4_BACAN	4.00E-120	8	223	1	219	98.63	A
DUF1342	585	246	2OEZ	E1DPP1_VIBPA	3.00E-109	18	216	1	207	96.14	A
DUF1348	418	250	2IMJ	Q4KBL6_PSEF5	9.00E-79	4	144	1	143	98.6	A
DUF1349	491	586	3MEP	Q6D507_ERWCT	1.00E-100	3	177	1	177	98.87	A
DUF1355	572	425	2GK3	C9X6X0_SALTD	2.00E-96	2	178	1	182	97.25	A
DUF1396	204	525	3MH8	F2V659_MYCTU	1.00E-109	5	195	1	191	100	A
DUF1398	384	183	2HH8	E9X3M3_ECOLX	2.00E-70	2	126	1	125	100	A
DUF1425	516	154	3O0L	A3QDQ3_SHELP	4.00E-52	12	104	1	94	98.94	A
DUF1428	321	158	2OKQ	D8BYK9_ECOLX	1.00E-57	12	114	1	103	100	A
DUF1439	519	254	3L6I	D8C635_ECOLX	1.00E-75	12	158	1	153	96.08	A
DUF1460	298	520	2P1G	Q64UP6_BACFR	9.00E-132	3	224	1	224	99.11	A
DUF1462	244	100	1XG8	D2N5P9_STAA5	1.00E-50	11	102	1	95	96.84	A
DUF1470	624	322	3H0N	Q28PN4_JANSC	1.00E-72	9	139	1	132	99.24	A
DUF1479	441	914	2DBI	D8B4J8_ECOLX	0	6	397	1	411	95.38	A
DUF1485	421	525	3IUU	Q11B79_MESSB	9.00E-157	4	283	1	286	97.9	A
DUF1488	632	133	2GPI	A3QJE4_SHELP	8.00E-43	4	86	1	84	98.81	A
DUF1498	240	309	3KMH	E2KB83_ECO57	2.00E-123	1	215	2	223	96.85	A
DUF1537	1137	546	3DQQ	Q57KK9_SALCH	7.00E-123	162	379	1	220	98.64	A
DUF159	1584	1038	2F20	Q8A8E9_BACTN	7.00E-121	1	217	2	224	97.31	A
DUF1611	265	516	2OBN	Q3M7B8_ANAVT	3.00E-163	35	330	1	303	96.7	A
DUF1681	221	431	1TQZ	D2I1V1_AILME	1.00E-74	6	133	1	128	100	A
DUF1684	221	238	2LOK	Q9HRE7_HALSA	2.00E-81	43	186	1	144	100	A
DUF1694	481	175	2OHW	YUEI_BACSU	2.00E-67	1	118	3	120	100	A
DUF1697	544	221	2HIY	B2DXQ0_STRPN	8.00E-72	2	134	2	136	98.52	A
DUF1726	705	207	2ZPA	E9YQZ0_ECOLX	1.00E-30	53	147	4	98	92.63	A
DUF1735	661	249	3N91	D4VGG5_9BACE	7.00E-45	46	133	1	91	96.7	A
DUF1768	719	671	2B3W	D8BXQ3_ECOLX	1.00E-83	17	158	1	142	100	A
